date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:30	62837/62837	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:28%20GMT	https://www.instrakventurecapital.com/board-of-directors/	www.instrakventurecapital.com/www.instrakventurecapital.com/board-of-directors/index.html	(from https://www.instrakventurecapital.com/)
11:14:32	52768/52768	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:29%20GMT	https://www.instrakventurecapital.com/investors/	www.instrakventurecapital.com/www.instrakventurecapital.com/investors/index.html	(from https://www.instrakventurecapital.com/)
11:14:32	389869/389869	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jan%202021%2002:06:20%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2021/01/TRX1.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2021/01/TRX1.png	(from https://www.instrakventurecapital.com/)
11:14:32	45359/45359	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:30%20GMT	https://www.instrakventurecapital.com/latest-news-2/	www.instrakventurecapital.com/www.instrakventurecapital.com/latest-news-2/index.html	(from https://www.instrakventurecapital.com/)
11:14:32	66279/66279	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:30%20GMT	https://www.instrakventurecapital.com/join-us/	www.instrakventurecapital.com/www.instrakventurecapital.com/join-us/index.html	(from https://www.instrakventurecapital.com/)
11:14:33	46103/46103	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:45:02%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/pump-jack-oilfield-oil-848300-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/pump-jack-oilfield-oil-848300-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:34	70478/70478	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:32%20GMT	https://www.instrakventurecapital.com/contact/	www.instrakventurecapital.com/www.instrakventurecapital.com/contact/index.html	(from https://www.instrakventurecapital.com/)
11:14:35	159868/159868	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:45:10%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/books-bookshelf-old-4515917-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/books-bookshelf-old-4515917-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:36	179326/179326	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:45:25%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/car-mechanic-automobile-1751750-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/car-mechanic-automobile-1751750-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:37	250254/250254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:50:26%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/building-built-construction-2739204-edited-1.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/building-built-construction-2739204-edited-1.jpg	(from https://www.instrakventurecapital.com/)
11:14:38	133331/133331	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:48:49%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/buildings-skyline-chicago-185542-1024x768.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/buildings-skyline-chicago-185542-1024x768.jpg	(from https://www.instrakventurecapital.com/)
11:14:39	162696/162696	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:50:43%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/colors-colours-container-1838392-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/colors-colours-container-1838392-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:40	267023/267023	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:51:53%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/industry-machine-machinery-319580-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/industry-machine-machinery-319580-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:40	67946/67946	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2003:53:09%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/ecommerce-online-shopping-3563183-edited.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/ecommerce-online-shopping-3563183-edited.jpg	(from https://www.instrakventurecapital.com/)
11:14:41	4820/4820	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/images/custom.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/images/custom.png	(from https://www.instrakventurecapital.com/)
11:14:42	3303/3303	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20May%202024%2004:04:38%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submit.js?ver=1714968278	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submita89c.js	(from https://www.instrakventurecapital.com/)
11:14:43	457/457	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Apr%202024%2021:47:36%20GMT	https://www.instrakventurecapital.com/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/js/dist/dom-ready.min5346.js	(from https://www.instrakventurecapital.com/)
11:14:44	6587/6587	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Dec%202025%2002:42:52%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=09382f635556bec359b3	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main1006.js	(from https://www.instrakventurecapital.com/)
11:14:45	3219/3219	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2005%20Jul%202022%2021:41:00%20GMT	https://www.instrakventurecapital.com/wp-content/themes/dhor/js/navigation.js?ver=1.1.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/themes/dhor/js/navigationc5c9.js	(from https://www.instrakventurecapital.com/)
11:14:46	898/898	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2014%20Jul%202022%2022:09:28%20GMT	https://www.instrakventurecapital.com/wp-content/themes/dhor/js/custom.js?ver=1.1.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/themes/dhor/js/customc5c9.js	(from https://www.instrakventurecapital.com/)
11:14:47	4739/4739	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.slimscroll.min.js?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.slimscroll.min0e5f.js	(from https://www.instrakventurecapital.com/)
11:14:48	3368/3368	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.cookie.js?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.cookie0e5f.js	(from https://www.instrakventurecapital.com/)
11:14:49	20222/20222	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.magnific-popup.min.js?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/js/jquery.magnific-popup.min0e5f.js	(from https://www.instrakventurecapital.com/)
11:14:50	165144/165144	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/js/qcld-wp-chatbot-plugin.js?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/js/qcld-wp-chatbot-plugin0e5f.js	(from https://www.instrakventurecapital.com/)
11:14:51	44892/44892	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/js/qcld-wp-chatbot-front.js?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/js/qcld-wp-chatbot-front0e5f.js	(from https://www.instrakventurecapital.com/)
11:14:52	3937/3937	---M--	200	added ('OK')	image/gif	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/loading.gif	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/loading.gif	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:53	178/178	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/fullscreen.svg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/fullscreen.svg	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:54	1094/1094	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/geolocate.svg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/geolocate.svg	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:55	1458/1458	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/search_black.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/search_black.png	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:56	1516/1516	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/search_blue.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/search_blue.png	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:57	7536/7536	---M--	200	added ('OK')	image/gif	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/spinner-2x.gif	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/spinner-2x.gif	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:58	236/236	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/swapvert.svg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/swapvert.svg	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:14:59	230/230	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/menu-2x.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/images/menu-2x.png	(from https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3)
11:15:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jan%202026%2003:14:58%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content//fonts/oxygen/2sDfZG1Wl4LcnbuKgE0mV0Q.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKgE0mV0Q.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:01	42654/42654	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jan%202026%2003:14:59%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKgE0mV0Q.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKgE0mV0Q.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jan%202026%2003:15:00%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content//fonts/oxygen/2sDfZG1Wl4LcnbuKjk0m.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKjk0m.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:03	42654/42654	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jan%202026%2003:15:01%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKjk0m.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDfZG1Wl4LcnbuKjk0m.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jan%202026%2003:15:02%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content//fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzZmW5O7w.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzZmW5O7w.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:05	42654/42654	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jan%202026%2003:15:03%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzZmW5O7w.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzZmW5O7w.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jan%202026%2003:15:04%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content//fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzaGW5.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzaGW5.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:07	42654/42654	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jan%202026%2003:15:05%20GMT	https://www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzaGW5.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/home/instrakv/public_html/wp-content/fonts/oxygen/2sDcZG1Wl4LcnbuCNWgzaGW5.woff2	(from https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9)
11:15:08	204/204	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2003%20Jul%202022%2023:57:54%20GMT	https://www.instrakventurecapital.com/wp-content/themes/dhor/assets/img/icon-dropdown.svg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/themes/dhor/assets/img/icon-dropdown.svg	(from https://www.instrakventurecapital.com/wp-content/themes/dhor/style.css?ver=1.1.9)
11:15:09	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2014:41:04%20GMT	https://www.instrakventurecapital.com/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/fonts/dashicons7d4b.eot	(from https://www.instrakventurecapital.com/wp-includes/css/dashicons.min.css?ver=6.9)
11:15:10	56392/56392	---M--	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2014:41:04%20GMT	https://www.instrakventurecapital.com/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/fonts/dashicons7d4b.ttf	(from https://www.instrakventurecapital.com/wp-includes/css/dashicons.min.css?ver=6.9)
11:15:11	23320/23320	---M--	200	added ('OK')	font/woff2	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/fonts/quicksand-regular-webfont.woff2	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/fonts/quicksand-regular-webfont.woff2	(from https://www.instrakventurecapital.com/wp-content/plugins/chatbot/css/common-style.css?ver=7.6.5)
